Timestamp,HandLimb,Joint,Row,Column
34,Palm,surface,7,1,
34,Palm,surface,7,2,
34,Palm,surface,6,1,
34,Palm,surface,6,2,
34,Palm,surface,6,0,
34,Palm,surface,5,1,
34,Palm,surface,5,2,
34,Palm,surface,5,3,
34,Palm,surface,6,3,
34,Palm,surface,7,3,
34,Palm,surface,4,2,
34,Palm,surface,4,1,
56,Palm,surface,6,4,
56,Palm,surface,5,4,
56,Palm,surface,4,4,
56,Palm,surface,5,3,
56,Palm,surface,4,3,
56,Palm,surface,5,5,
57,Palm,surface,7,3,
57,Palm,surface,6,4,
57,Palm,surface,5,4,
57,Palm,surface,6,5,
57,Palm,surface,5,3,
57,Palm,surface,5,5,
57,Palm,surface,6,3,
57,Palm,surface,7,4,
57,Palm,surface,7,5,
57,Palm,surface,6,2,
109,Palm,surface,6,4,
109,Palm,surface,6,5,
109,Palm,surface,7,5,
109,Palm,surface,6,6,
109,Palm,surface,5,5,
109,Palm,surface,5,6,
110,Palm,surface,6,4,
110,Palm,surface,8,5,
110,Palm,surface,6,5,
110,Palm,surface,5,4,
110,Palm,surface,7,5,
110,Palm,surface,4,5,
110,Palm,surface,6,6,
110,Palm,surface,6,7,
110,Palm,surface,7,6,
110,Palm,surface,6,3,
110,Palm,surface,5,5,
110,Palm,surface,5,6,
110,Palm,surface,7,4,
111,Palm,surface,6,4,
111,Palm,surface,5,3,
111,Palm,surface,6,5,
111,Palm,surface,4,4,
111,Palm,surface,5,4,
111,Palm,surface,4,6,
111,Palm,surface,7,5,
111,Palm,surface,4,5,
111,Palm,surface,6,6,
111,Palm,surface,7,6,
111,Palm,surface,6,3,
111,Palm,surface,5,5,
111,Palm,surface,5,6,
111,Palm,surface,7,4,
112,Palm,surface,6,4,
112,Palm,surface,5,3,
112,Palm,surface,6,5,
112,Palm,surface,4,4,
112,Palm,surface,5,4,
112,Palm,surface,7,5,
112,Palm,surface,4,5,
112,Palm,surface,6,6,
112,Palm,surface,6,3,
112,Palm,surface,5,5,
112,Palm,surface,5,6,
112,Palm,surface,7,4,
127,Palm,surface,6,4,
127,Palm,surface,6,5,
128,Palm,surface,7,3,
128,Palm,surface,5,3,
128,Palm,surface,6,4,
128,Palm,surface,6,6,
128,Palm,surface,6,3,
128,Palm,surface,7,6,
128,Palm,surface,8,3,
128,Palm,surface,7,5,
128,Palm,surface,5,5,
128,Palm,surface,8,4,
128,Palm,surface,7,2,
128,Palm,surface,5,4,
128,Palm,surface,6,5,
128,Palm,surface,8,5,
128,Palm,surface,7,4,
184,Palm,surface,8,6,
184,Palm,surface,6,5,
184,Palm,surface,7,6,
184,Palm,surface,7,7,
184,Palm,surface,7,5,
184,Palm,surface,6,6,
184,Palm,surface,6,7,
185,Palm,surface,7,4,
185,Palm,surface,6,5,
185,Palm,surface,5,6,
185,Palm,surface,4,6,
185,Palm,surface,7,6,
185,Palm,surface,5,5,
185,Palm,surface,6,4,
185,Palm,surface,7,7,
185,Palm,surface,5,7,
185,Palm,surface,5,4,
185,Palm,surface,7,5,
185,Palm,surface,6,6,
185,Palm,surface,6,7,
185,Palm,surface,4,5,
186,Palm,surface,7,4,
186,Palm,surface,6,5,
186,Palm,surface,5,6,
186,Palm,surface,4,6,
186,Palm,surface,5,3,
186,Palm,surface,7,6,
186,Palm,surface,5,5,
186,Palm,surface,6,4,
186,Palm,surface,4,4,
186,Palm,surface,5,7,
186,Palm,surface,5,4,
186,Palm,surface,7,5,
186,Palm,surface,6,6,
186,Palm,surface,6,7,
186,Palm,surface,4,5,
187,Palm,surface,6,5,
187,Palm,surface,5,6,
187,Palm,surface,4,6,
187,Palm,surface,5,3,
187,Palm,surface,5,5,
187,Palm,surface,6,4,
187,Palm,surface,4,4,
187,Palm,surface,5,4,
187,Palm,surface,6,6,
187,Palm,surface,4,5,
188,Palm,surface,6,5,
188,Palm,surface,5,6,
188,Palm,surface,5,3,
188,Palm,surface,5,5,
188,Palm,surface,6,4,
188,Palm,surface,4,4,
188,Palm,surface,5,4,
188,Palm,surface,4,5,
189,Palm,surface,5,5,
189,Palm,surface,4,4,
189,Palm,surface,5,4,
189,Palm,surface,4,5,
190,Palm,surface,5,5,
190,Palm,surface,4,4,
190,Palm,surface,5,4,
190,Palm,surface,4,5,
191,Palm,surface,5,5,
200,Palm,surface,5,6,
200,Palm,surface,4,5,
200,Palm,surface,4,6,
200,Palm,surface,5,5,
201,Palm,surface,3,5,
201,Palm,surface,6,6,
201,Palm,surface,3,6,
201,Palm,surface,6,7,
201,Palm,surface,4,7,
201,Palm,surface,3,7,
201,Palm,surface,5,6,
201,Palm,surface,5,7,
201,Palm,surface,4,5,
201,Palm,surface,4,4,
201,Palm,surface,4,6,
201,Palm,surface,5,4,
201,Palm,surface,6,5,
201,Palm,surface,5,5,
202,Palm,surface,7,7,
202,Palm,surface,5,8,
202,Palm,surface,6,6,
202,Palm,surface,6,7,
202,Palm,surface,4,7,
202,Palm,surface,7,5,
202,Palm,surface,5,6,
202,Palm,surface,5,7,
202,Palm,surface,4,5,
202,Palm,surface,6,8,
202,Palm,surface,4,6,
202,Palm,surface,5,4,
202,Palm,surface,6,5,
202,Palm,surface,7,6,
202,Palm,surface,5,5,
